OID_,id,X,Y
3704,3704,121.507421115065114,31.283073544848456
3705,3705,121.507539804497753,31.282924967465281
3706,3706,121.507655713907596,31.282774591999488
3707,3707,121.507771622969614,31.282624217339013
3708,3708,121.507887531654973,31.282473841680670
3709,3709,121.508003439992422,31.282323466827670
3710,3710,121.508119347953311,31.282173090976780
3711,3711,121.508235256616146,31.282022715918920
3712,3712,121.508351162802740,31.281872339887823
3713,3713,121.508467070726752,31.281721963735841
3714,3714,121.508582977238717,31.281571587499890
3715,3715,121.508699192845953,31.281421390593810
